repository_name,language
.github,
app-store-server-library-java,Java
app-store-server-library-node,TypeScript
app-store-server-library-python,Python
app-store-server-library-swift,Swift
apple-llvm-infrastructure-tools,C++
apple_rules_lint,Starlark
ARKitScenes,Python
AudioUnit-Examples,Swift
AudioUnitSDK,C++
axlearn,Python
batch-processing-gateway,Java
ccs-caldavclientlibrary,HTML
ccs-caldavtester,Python
ccs-calendarserver,Python
ccs-pycalendar,Python
ccs-pykerberos,C
ccs-pyopendirectory,C++
ccs-pyosxframeworks,Python
ccs-pysecuretransport,Python
ccs-twistedextensions,Python
container,Swift
container-builder-shim,Go
containerization,Swift
coremltools,Python
corenet,Jupyter Notebook
cups,C
darwin-libplatform,C
darwin-libpthread,C
darwin-xnu,C
device-management,
dmel,Python
dmel-demo,HTML
dnikit,Python
eidas,Go
embedding-atlas,TypeScript
example-package-fisheryates,Swift
FHIRModels,Swift
foundationdb,C++
fstools,C
game-center-tools,Python
GCGC,Jupyter Notebook
homebrew-apple,Ruby
HomeKitADK,C
learning-compressible-subspaces,Python
learning-subspaces,Python
llvm-monorepo-root,
llvm-project-v5,C++
llvm-project-v5-split,C++
ml-4m,Python
ml-acn-embed,Python
ml-act,Python
ml-ademamix,Python
ml-afv,Python
ml-agent-evaluator,Jupyter Notebook
ml-agm,Python
ml-aim,Python
ml-all-pairs,Python
ml-ane-transformers,Python
ml-aspanformer,Python
ml-aspera,Python
ml-atoken,Jupyter Notebook
ml-aura,Python
ml-autofocusformer,Python
ml-autofocusformer-segmentation,Python
ml-batchquant,Python
ml-behavioral-testing-for-mt,
ml-bilevel-train-dist,Python
ml-bloop,Python
ml-calibration,Jupyter Notebook
ml-capsules-inverted-attention-routing,Python
ml-cifar-10-faster,Python
ml-code-switched-speech-translation,Python
ml-codeswitching-translations,
ml-collegial-ensembles,Python
ml-comotion,Python
ml-compress-and-compare,Python
ml-core,Python
ml-covid-mobility,R
ml-cread,Python
ml-cross-entropy,Python
ml-cubifyanything,Python
ml-cvnets,Python
ml-cvpr2019-swd,Python
ml-dab,Python
ml-data-parameters,Python
ml-dataset-decomposition,Python
ml-delphi,
ml-depth-pro,Python
ml-destseg,Python
ml-diffucoder,Python
ml-diffusion-alignment-gflownet,Python
ml-direct2.5,Python
ml-divide-or-conquer,Python
ml-dms-dataset,Python
ml-dprecs,Jupyter Notebook
ml-dr,Python
ml-duet,Python
ml-egodex,Python
ml-encqa,Python
ml-entity-deduction-arena,Python
ml-entropy-reconstruction,Python
ml-envmapnet,Python
ml-epicache,Python
ml-equivariant-neural-rendering,Jupyter Notebook
ml-facelit,Python
ml-famae,Python
ml-fastvit,Python
ml-fastvlm,Python
ml-fct,Python
ml-ferret,Python
ml-finerecon,Python
ml-flair,Jupyter Notebook
ml-flextok,Jupyter Notebook
ml-gaudi,
ml-gbc,Python
ml-gendered-translation,Ruby
ml-gie-bench,Python
ml-gmpi,Python
ml-gsm-symbolic,
ml-gsn,Python
ml-hd-gist,Python
ml-heart-rate-models,Python
ml-hierarchical-confusion-matrix,TypeScript
ml-hugs,Python
ml-hypercloning,Python
ml-hypersim,Python
ml-icr2,Python
ml-inrflow,Python
ml-interactive-data-augmentation,Svelte
ml-internal-llms-instruction-following,Python
ml-interspeech2022-phi_rtn,
ml-isqoe,Python
ml-jointnet,Python
ml-key-retrieval-code-tasks,Python
ml-keyframer,JavaScript
ml-kg-mt,Python
ml-kge,Python
ml-knowledge-conflicts,Python
ml-kpconvx,Python
ml-l3m,Python
ml-lineas,Python
ml-live-pose,
ml-llarp,Python
ml-loop,Python
ml-lucid-datagen,Python
ml-mad-bench,Jupyter Notebook
ml-matrix3d,Python
ml-mcf,Python
ml-mcp-repo-level-coding,Python
ml-mdm,Python
ml-mebp,Swift
ml-mgie,Python
ml-mia-bench,Jupyter Notebook
ml-MixupMP,Python
ml-mkqa,Python
ml-mobileclip,Python
ml-mobileclip-dr,Python
ml-mobileone,Swift
ml-mofi,Python
ml-multiple-futures-prediction,Python
ml-mycelium,JavaScript
ml-ncg,Python
ml-negative-sampling,Python
ml-neilf,Python
ml-neilfpp,Python
ml-neuman,Python
ml-no-token-left-behind,Jupyter Notebook
ml-np-rasp,Python
ml-nvas3d,Python
ml-ogen,Python
ml-omni-router-moe-asr,Python
ml-persona-red-teaming,Python
ml-pfl4asr,Python
ml-pgdvs,Python
ml-planner,Python
ml-pointconvformer,Python
ml-pointersect,Python
ml-policy-projector,Python
ml-ppg-age-analysis,Python
ml-predict,Python
ml-primex,
ml-probabilistic-attention,Python
ml-projunit,Python
ml-pytod,Python
ml-qrecc,Python
ml-quant,Python
ml-recurrent-drafter,Python
ml-reed,Python
ml-reversal-blessing,Python
ml-rlgrad,Python
ml-robust-expert-augmentations,Python
ml-rpm-bench,Python
ml-sad,Python
ml-sage-dialog-gen,Python
ml-sampleplan,Python
ml-scaffold,Python
ml-selfcond,Python
ml-selfreflect,Python
ml-shuffling-amplification,Python
ml-sid-dit,Python
ml-sigma-reparam,Python
ml-sigmoid-attention,Python
ml-simplefold,Python
ml-slowfast-llava,Python
ml-space-benchmark,Python
ml-spatial-librispeech,
ml-speech-is-more-than-words,
ml-spin,Python
ml-stable-diffusion,Python
ml-stabledreamer,
ml-stuttering-events-dataset,Python
ml-superposition-prompting,Python
ml-switchboard-affect,Python
ml-symphony,Svelte
ml-synthbias,
ml-tada,Python
ml-tarflow,Python
ml-tic-clip,Python
ml-tic-lm,Python
ml-toad,Python
ml-tract,Python
ml-transcript-translation-consistency-ratings,
ml-translate-vis,TypeScript
ml-tree-dst,Python
ml-tune-mode-convbn,Python
ml-tweak,Python
ml-ui-jepa,Python
ml-uncertainty-llms-instruction-following,Python
